TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
1;CA_Advanced_Search;;Custom;;;LAUNCHSITE;$HybrisGermanEnv.QA_URL.Field1;;Launch Application;;;;
;;;LoginPage;Login;UserName;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Implicit Wait;;;;
;;;LoginPage;Login;UserName;ENTER;$PIMUsers.CALanEnricherUser.Field1;;Enter User Name;;ON ERROR EXIT SCENARIO;;
;;;LoginPage;Login;Password;ENTER;$PIMUsers.CALanEnricherPwd.Field1;;Enter Password;;;;
;;;DMIOnlineSync;Login;hybris_product_cockpit_Select_Language;CLICK;;;Opening Dropdown for Language;;;;
;;;HybrisGerman;Login;hybris_product_cockpit_Select_Language_EnglishCanada;CLICK;;;English CA Language is selected;;;;
;;;LoginPage;Login;Login;CLICK;;;Click Login;;ON ERROR EXIT SCENARIO;;
;;;HybrisGerman;GridViewOR;GridViewCatalog_german_care_Body_GridView;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Grid View Button;;;;
;;;HybrisGerman;GridViewOR;GridViewCatalog_german_care_Body_GridView;CLICK;;;Click on Grid View;;;;
;;;Custom;;;WAIT;5;;;;;;
;;;DMIOnlineSync;Home;Progressbar_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Progress Bar;;IGNORE REPORT;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading results;;;;
;;IF;HybrisGerman;HomeMiddlePane;FirstResult;VERIFYELEMENTNOTPRESENT;$HybrisGermanEnv.MaxWait.Field1;;If variant nt present load more results;;;;
;;;DMIOnlineSync;RightPane;Page_Size;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Page Size Dropdown;;IGNORE REPORT;;
;;;DMIOnlineSync;RightPane;Page_Size;CLICK;;;Click on Page Size Dropdown;;IGNORE REPORT;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Select Max;;IGNORE REPORT;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;CLICK;;;Click on Maximum;;IGNORE REPORT;;
;;;DMIOnlineSync;RightPane;Page_Size_inputbox;ENTER;max;;Click on Maximum;;IGNORE REPORT;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;RightPane;BrowserArea_Item_Intotal;CLICK;;;Click on Browser Area;;IGNORE REPORT;;
;;END IF;Custom;;;WAIT;10;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;IGNORE REPORT;;
;;;DMIOnlineSync;Home;Progressbar_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Progress Bar;;IGNORE REPORT;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading Result;;;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;CLICK;;;Click on first result;;;;
;;;HybrisGerman;HomeMiddlePane;Get_EAN;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading results;;;;
;;;HybrisGerman;HomeMiddlePane;Get_EAN;SETATTRIBUTEVARIABLE;{{EANText}};textContent;Set EAN to be searched;;;;
;;;HybrisGerman;HomeMiddlePane;Get_CompassCode;SETATTRIBUTEVARIABLE;{{CompassCodeText}};textContent;Set Compass Code to be searched;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_collapse;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for collapse button;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_collapse;ClickIfPresent;;;Collapse side panel;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advance_search;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for advance Search Button;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advance_search;CLICK;;;Click on AdvanceSearch button;;;;
;;;Custom;;;WAIT;2;;Wait;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advSearch_EAN;CLICK;;;Click on EAN Field;;;;
;;;Custom;;;WAIT;2;;Wait;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advSearch_contains;ENTER;{{EANText}};;Enter EAN;;;;
;;;Custom;;;WAIT;2;;Wait;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advSearch_Apply;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for applying;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advSearch_Apply;CLICK;;;Clicking  Apply button;;;;
;;;Custom;;;WAIT;5;;Wait for applying Compass Code;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advance_search_key;ScrollToEleWithinDiv;;;Scroll to Adv Search button;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advance_search_key;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_advance_search_key;CLICK;;;Click Advance Search Key ;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;;;
;;;Custom;;;WAIT;30;;Wait for Advance Search Result;;;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading first results;;;;
;;;HybrisGerman;HomeMiddlePane;FirstResult;CLICK;;;Click on result;;;;
;;;Custom;;;WAIT;5;;Wait;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_expand;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for expand button;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_expand;ClickIfPresent;;;Expand Panel;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_deutsch_result_image_product_EAN;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for loading attributes;;;;
;;;HybrisGerman;HomeMiddlePane;hybris_product_cockpit_deutsch_result_image_product_EAN;VERIFYTEXT;;{{EANText}};Verify Attribute Value;;;;
;;;Custom;;;QUIT;;;Close Browser;;;;
